53.00,27.80,11.20,1
61.00,42.40,18.60,2
24.50,16.80,7.70,3
32.40,16.80,15.60,4
94.00,64.80,2.00,5
40.40,16.00,10.00,6
30.80,19.20,3.60,7
88.30,44.00,13.90,8
36.60,26.20,10.40,9
35.10,35.10,35.10,10
42.60,25.60,17.00,11
28.80,20.80,8.00,12
51.40,39.40,12.00,13
14.40,14.40,14.40,14
54.40,30.40,24.00,15
20.70,20.70,20.70,16
31.20,31.20,31.20,18
30.40,30.40,30.40,19
29.10,14.70,14.40,20
99.00,99.00,99.00,21
36.80,36.80,36.80,23
24.80,24.80,24.80,26
17.20,17.20,17.20,27
4.80,4.80,4.80,29
36.40,36.40,36.40,30
62.60,35.10,12.00,31
6.20,6.20,6.20,33
7.30,7.30,7.30,34
12.40,12.40,12.40,36
11.20,11.20,11.20,37
14.40,14.40,14.40,38
20.80,11.20,9.60,40
15.90,10.00,5.90,41
34.60,26.60,8.00,42
50.00,50.00,50.00,46
28.80,28.80,28.80,49
13.60,13.60,13.60,53
37.60,20.00,17.60,62
10.60,10.60,10.60,67
5.60,5.60,5.60,75
11.20,11.20,11.20,76
210.80,210.80,210.80,82
24.90,24.90,24.90,83
7.60,7.60,7.60,85
7.20,7.20,7.20,90
